# TShark hosts output
#
# Host data gathered from maze/maze.pcapng

13.107.246.254	t-9999.t-msedge.net
205.251.199.194	ns-1986.awsdns-56.co.uk
184.27.120.67	n2g.akamaiedge.net
204.79.197.2	ns2.a-msedge.net
193.108.88.128	a1-128.akadns.net
40.90.4.1	ns1-01.azure-dns.com
204.79.195.41	tm1.dns-tm.com
72.21.80.5	ns1.v0cdn.net
142.250.191.112	storage.googleapis.com
40.90.4.201	ns1-201.azure-dns.com
205.251.196.133	ns-1157.awsdns-16.org
91.194.146.6	dns04.swisssign.net
184.27.120.69	n7g.akamaiedge.net
69.22.155.201	n6g.akamaiedge.net
108.162.192.130	lily.ns.cloudflare.com
23.74.25.67	a26-67.akam.net
184.85.248.66	a9-66.akam.net
172.217.4.74	content-autofill.googleapis.com
88.221.81.192	n0dscw14.akamai.net
23.215.105.54	n5dscw14.akamai.net
142.250.64.67	id.google.com
13.107.246.2	ns2.t-msedge.net
13.107.160.1	ns2prod.8507.azuredns-prd.info
157.131.0.39	ns1e.clamav.net
52.162.219.173	wd-prod-ss-us-northcentral-2-fe.northcentralus.cloudapp.azure.c
108.162.193.105	brad.ns.cloudflare.com
13.107.24.6	ns3-06.azure-dns.org
216.58.192.141	accounts.google.com
216.239.38.10	ns4.google.com
184.27.120.71	n4g.akamaiedge.net
13.107.160.201	ns4-201.azure-dns.info
131.253.33.254	a-9999.dc-msedge.net
23.63.78.32	a1879.dscw14.akamai.net
184.50.238.23	n2dscw14.akamai.net
185.70.41.19	ns2.protonmail.com
142.250.191.144	storage.googleapis.com
142.250.190.14	encrypted-tbn0.gstatic.com
52.162.82.248	trdonorthcentralusrs4vmss.ipv6.microsoft.com.akadns.net
2606:2800:1::6	ns2.v0cdn.net
2600:9000:5301:7900::1	ns-377.awsdns-47.com
2603:1061::6	ns1-06.azure-dns.com
2603:1061::2	ns1-02.azure-dns.com
2600:9000:5301:a400::1	ns-420.awsdns-52.com
2600:9000:5306:6200::1	ns-1634.awsdns-12.co.uk
2001:4860:4802:38::a	ns4.google.com
2803:f800:50::6ca2:c082	lily.ns.cloudflare.com
2620:1ec:8ec::6	ns2-06.azure-dns.net
2620:1ec:bda::c9	ns4-201.azure-dns.info
2603:5:2140::1	ns01.domaincontrol.com
2a06:98c1:50::ac40:2169	brad.ns.cloudflare.com
2603:1061::c9	ns1-201.azure-dns.com
2001:4860:4802:36::a	ns3.google.com
2600:9000:5307:c200::1	ns-1986.awsdns-56.co.uk
2001:4860:4802:34::a	ns2.google.com
2620:28:c000:0:aba:ca:daba:ee	ns1a.clamav.net
2606:2800:1::5	ns1.v0cdn.net
2607:f0d0:1102:f::2	ns2e.clamav.net
2606:2800:e::6	ns4.v0cdn.net
2620:1ec:bda::6	ns4-06.azure-dns.info
2a01:111:4000::6	ns3-06.azure-dns.org
2606:2800:e::5	ns3.v0cdn.net
2600:1480:e800::c0	n0dscw14.akamai.net
2600:1408:1c::81	a3-129.akadns.net
2a01:111:4000::c9	ns3-201.azure-dns.org
2a06:98c1:50::ac40:2082	lily.ns.cloudflare.com
2604:1380:1:8a02::3	ns3e.clamav.net
2600:1403:a::40	a8-64.akam.net
2606:4700:58::adf5:3b69	brad.ns.cloudflare.com
2600:1480:800::41	a13-65.akam.net
2603:5:2240::1	ns02.domaincontrol.com
2620:1ec:8ec::201	ns2-201.azure-dns.net
2001:4860:4802:32::a	ns1.google.com
2600:9000:5302:6600::1	ns-614.awsdns-12.net
2603:1061::1	ns1-01.azure-dns.com
2a02:26f0:117::42	a9-66.akam.net
2600:9000:5303:2300::1	ns-803.awsdns-36.net
2803:f800:50::6ca2:c169	brad.ns.cloudflare.com
2001:5a8:601:2::39	ns1e.clamav.net
2600:9000:5304:8500::1	ns-1157.awsdns-16.org
2620:1ec:8ec::c9	ns2-201.azure-dns.net
2600:1406:32::83	a7-131.akadns.net
2600:9000:5304:ec00::1	ns-1260.awsdns-29.org
2606:4700:50::adf5:3a82	lily.ns.cloudflare.com
2620:121::aba:ca:daba:ee	ns4a.clamav.net
